region,county,market,category,commodity,unit,priceflag,pricetype,price
Nyanza,Kisumu,Kisumu,cereals and tubers,Maize,KG,actual,Wholesale,16.6
Nyanza,Kisumu,Kisumu,cereals and tubers,Maize,90 KG,actual,Wholesale,1520.0
Nyanza,Kisumu,Kisumu,cereals and tubers,Potatoes,50 KG,actual,Wholesale,1911.11
Nyanza,Kisumu,Kisumu,cereals and tubers,Sorghum,90 KG,actual,Wholesale,1600.0
Nyanza,Kisumu,Kisumu,pulses and nuts,Beans,KG,actual,Wholesale,50.15
Nyanza,Kisumu,Kisumu,pulses and nuts,Beans,90 KG,actual,Wholesale,4640.0
Rift Valley,Turkana,Lodwar (Turkana),cereals and tubers,Maize,KG,actual,Retail,30.0
Rift Valley,Uasin Gishu,Eldoret town (Uasin Gishu),cereals and tubers,Maize,KG,actual,Wholesale,14.19
Rift Valley,Uasin Gishu,Eldoret town (Uasin Gishu),cereals and tubers,Maize,90 KG,actual,Wholesale,1277.0
Rift Valley,Uasin Gishu,Eldoret town (Uasin Gishu),cereals and tubers,Potatoes,50 KG,actual,Wholesale,796.1
Rift Valley,Uasin Gishu,Eldoret town (Uasin Gishu),cereals and tubers,Sorghum,90 KG,actual,Wholesale,1035.0
Rift Valley,Uasin Gishu,Eldoret town (Uasin Gishu),pulses and nuts,Beans,KG,actual,Wholesale,48.6
Rift Valley,Uasin Gishu,Eldoret town (Uasin Gishu),pulses and nuts,Beans,90 KG,actual,Wholesale,3060.0
Coast,Mombasa,Mombasa,cereals and tubers,Maize,KG,actual,Wholesale,19.12
Coast,Mombasa,Mombasa,cereals and tubers,Maize,90 KG,actual,Wholesale,1739.47
Coast,Mombasa,Mombasa,pulses and nuts,Beans,KG,actual,Wholesale,39.73
Coast,Mombasa,Mombasa,pulses and nuts,Beans,90 KG,actual,Wholesale,3978.95
Eastern,Kitui,Kitui,cereals and tubers,Maize,KG,actual,Retail,22.0
Eastern,Kitui,Kitui,pulses and nuts,Beans,KG,actual,Retail,51.0
Eastern,Marsabit,Marsabit,cereals and tubers,Maize,KG,actual,Retail,22.0
Nairobi,Nairobi,Nairobi,cereals and tubers,Beans,400 G,actual,Retail,26.0
Nairobi,Nairobi,Nairobi,cereals and tubers,Maize,KG,actual,Wholesale,17.71
Nairobi,Nairobi,Nairobi,cereals and tubers,Maize,90 KG,actual,Wholesale,1624.76
Nairobi,Nairobi,Nairobi,cereals and tubers,Potatoes,50 KG,actual,Wholesale,1624.99
Nairobi,Nairobi,Nairobi,cereals and tubers,Sorghum,90 KG,actual,Wholesale,2014.29
Nairobi,Nairobi,Nairobi,milk and dairy,Milk,500 ML,actual,Retail,25.0
Nairobi,Nairobi,Nairobi,oil and fats,Oil,L,actual,Retail,120.0
Nairobi,Nairobi,Nairobi,pulses and nuts,Beans,KG,actual,Wholesale,49.72
Nairobi,Nairobi,Nairobi,pulses and nuts,Beans,90 KG,actual,Wholesale,4505.0
North Eastern,Mandera,Mandera,cereals and tubers,Maize,KG,actual,Retail,25.0
Nyanza,Kisumu,Kisumu,cereals and tubers,Maize,KG,actual,Wholesale,18.77
Nyanza,Kisumu,Kisumu,cereals and tubers,Maize,90 KG,actual,Wholesale,1720.0
Nyanza,Kisumu,Kisumu,cereals and tubers,Potatoes,50 KG,actual,Wholesale,1111.1
Nyanza,Kisumu,Kisumu,cereals and tubers,Sorghum,90 KG,actual,Wholesale,1400.0
Nyanza,Kisumu,Kisumu,pulses and nuts,Beans,KG,actual,Wholesale,48.09
Nyanza,Kisumu,Kisumu,pulses and nuts,Beans,90 KG,actual,Wholesale,4543.0
Rift Valley,Turkana,Lodwar (Turkana),cereals and tubers,Maize,KG,actual,Retail,26.0
Rift Valley,Uasin Gishu,Eldoret town (Uasin Gishu),cereals and tubers,Maize,KG,actual,Wholesale,15.58
Rift Valley,Uasin Gishu,Eldoret town (Uasin Gishu),cereals and tubers,Maize,90 KG,actual,Wholesale,1445.26
Rift Valley,Uasin Gishu,Eldoret town (Uasin Gishu),cereals and tubers,Potatoes,50 KG,actual,Wholesale,690.05
Rift Valley,Uasin Gishu,Eldoret town (Uasin Gishu),cereals and tubers,Sorghum,90 KG,actual,Wholesale,1031.58
Rift Valley,Uasin Gishu,Eldoret town (Uasin Gishu),pulses and nuts,Beans,KG,actual,Wholesale,53.6
Rift Valley,Uasin Gishu,Eldoret town (Uasin Gishu),pulses and nuts,Beans,90 KG,actual,Wholesale,3311.0
Coast,Mombasa,Mombasa,cereals and tubers,Maize,KG,actual,Wholesale,20.1
Coast,Mombasa,Mombasa,cereals and tubers,Maize,90 KG,actual,Wholesale,1814.75
Coast,Mombasa,Mombasa,pulses and nuts,Beans,KG,actual,Wholesale,28.23
Coast,Mombasa,Mombasa,pulses and nuts,Beans,90 KG,actual,Wholesale,2706.25
Eastern,Kitui,Kitui,cereals and tubers,Maize,KG,actual,Retail,22.0
Eastern,Kitui,Kitui,pulses and nuts,Beans,KG,actual,Retail,53.0
Eastern,Marsabit,Marsabit,cereals and tubers,Maize,KG,actual,Retail,20.0
Nairobi,Nairobi,Nairobi,cereals and tubers,Beans,400 G,actual,Retail,26.0
Nairobi,Nairobi,Nairobi,cereals and tubers,Maize,KG,actual,Wholesale,16.96
Nairobi,Nairobi,Nairobi,cereals and tubers,Maize,90 KG,actual,Wholesale,1550.91
Nairobi,Nairobi,Nairobi,cereals and tubers,Potatoes,50 KG,actual,Wholesale,861.1
Nairobi,Nairobi,Nairobi,cereals and tubers,Sorghum,90 KG,actual,Wholesale,1978.07
Nairobi,Nairobi,Nairobi,milk and dairy,Milk,500 ML,actual,Retail,22.0
Nairobi,Nairobi,Nairobi,oil and fats,Oil,L,actual,Retail,120.0
Nairobi,Nairobi,Nairobi,pulses and nuts,Beans,KG,actual,Wholesale,33.07
Nairobi,Nairobi,Nairobi,pulses and nuts,Beans,90 KG,actual,Wholesale,3017.0
North Eastern,Mandera,Mandera,cereals and tubers,Maize,KG,actual,Retail,22.0
Nyanza,Kisumu,Kisumu,cereals and tubers,Maize,KG,actual,Wholesale,19.3
Nyanza,Kisumu,Kisumu,cereals and tubers,Maize,90 KG,actual,Wholesale,1714.0
Nyanza,Kisumu,Kisumu,cereals and tubers,Potatoes,50 KG,actual,Wholesale,586.11
Nyanza,Kisumu,Kisumu,cereals and tubers,Sorghum,90 KG,actual,Wholesale,1220.0
Nyanza,Kisumu,Kisumu,pulses and nuts,Beans,KG,actual,Wholesale,38.51
Nyanza,Kisumu,Kisumu,pulses and nuts,Beans,90 KG,actual,Wholesale,3340.0
Rift Valley,Turkana,Lodwar (Turkana),cereals and tubers,Maize,KG,actual,Retail,27.0
Rift Valley,Uasin Gishu,Eldoret town (Uasin Gishu),cereals and tubers,Maize,KG,actual,Wholesale,17.03
Rift Valley,Uasin Gishu,Eldoret town (Uasin Gishu),cereals and tubers,Maize,90 KG,actual,Wholesale,1549.0
Rift Valley,Uasin Gishu,Eldoret town (Uasin Gishu),cereals and tubers,Potatoes,50 KG,actual,Wholesale,450.61
Rift Valley,Uasin Gishu,Eldoret town (Uasin Gishu),cereals and tubers,Sorghum,90 KG,actual,Wholesale,1322.22
Rift Valley,Uasin Gishu,Eldoret town (Uasin Gishu),pulses and nuts,Beans,KG,actual,Wholesale,46.06
Rift Valley,Uasin Gishu,Eldoret town (Uasin Gishu),pulses and nuts,Beans,90 KG,actual,Wholesale,2978.0
Coast,Mombasa,Mombasa,cereals and tubers,Maize,KG,actual,Wholesale,19.92
Coast,Mombasa,Mombasa,cereals and tubers,Maize,90 KG,actual,Wholesale,1695.0
Coast,Mombasa,Mombasa,pulses and nuts,Beans,KG,actual,Wholesale,30.15
Coast,Mombasa,Mombasa,pulses and nuts,Beans,90 KG,actual,Wholesale,2750.0
Eastern,Kitui,Kitui,cereals and tubers,Maize,KG,actual,Retail,22.0
Eastern,Kitui,Kitui,pulses and nuts,Beans,KG,actual,Retail,51.0
Eastern,Marsabit,Marsabit,cereals and tubers,Maize,KG,actual,Retail,21.0
Nairobi,Nairobi,Nairobi,cereals and tubers,Beans,400 G,actual,Retail,26.0
Nairobi,Nairobi,Nairobi,cereals and tubers,Maize,KG,actual,Wholesale,18.61
Nairobi,Nairobi,Nairobi,cereals and tubers,Maize,90 KG,actual,Wholesale,1690.67
Nairobi,Nairobi,Nairobi,cereals and tubers,Potatoes,50 KG,actual,Wholesale,662.22
Nairobi,Nairobi,Nairobi,cereals and tubers,Sorghum,90 KG,actual,Wholesale,1680.0
Nairobi,Nairobi,Nairobi,milk and dairy,Milk,500 ML,actual,Retail,22.0
Nairobi,Nairobi,Nairobi,oil and fats,Oil,L,actual,Retail,115.0
Nairobi,Nairobi,Nairobi,pulses and nuts,Beans,KG,actual,Wholesale,30.3
Nairobi,Nairobi,Nairobi,pulses and nuts,Beans,90 KG,actual,Wholesale,2760.0
North Eastern,Mandera,Mandera,cereals and tubers,Maize,KG,actual,Retail,23.0
Nyanza,Kisumu,Kisumu,cereals and tubers,Maize,KG,actual,Wholesale,17.26
Nyanza,Kisumu,Kisumu,cereals and tubers,Maize,90 KG,actual,Wholesale,1533.33
Nyanza,Kisumu,Kisumu,cereals and tubers,Potatoes,50 KG,actual,Wholesale,455.55
Nyanza,Kisumu,Kisumu,cereals and tubers,Sorghum,90 KG,actual,Wholesale,1450.0
Nyanza,Kisumu,Kisumu,pulses and nuts,Beans,KG,actual,Wholesale,34.77
Nyanza,Kisumu,Kisumu,pulses and nuts,Beans,90 KG,actual,Wholesale,3200.0
Rift Valley,Turkana,Lodwar (Turkana),cereals and tubers,Maize,KG,actual,Retail,26.0
Rift Valley,Uasin Gishu,Eldoret town (Uasin Gishu),cereals and tubers,Maize,KG,actual,Wholesale,16.56
Rift Valley,Uasin Gishu,Eldoret town (Uasin Gishu),cereals and tubers,Maize,90 KG,actual,Wholesale,1550.0
Rift Valley,Uasin Gishu,Eldoret town (Uasin Gishu),cereals and tubers,Potatoes,50 KG,actual,Wholesale,333.32
Rift Valley,Uasin Gishu,Eldoret town (Uasin Gishu),cereals and tubers,Sorghum,90 KG,actual,Wholesale,1000.0
Rift Valley,Uasin Gishu,Eldoret town (Uasin Gishu),pulses and nuts,Beans,KG,actual,Wholesale,41.43
Rift Valley,Uasin Gishu,Eldoret town (Uasin Gishu),pulses and nuts,Beans,90 KG,actual,Wholesale,2260.0
Coast,Mombasa,Mombasa,cereals and tubers,Maize,KG,actual,Wholesale,15.31
Coast,Mombasa,Mombasa,cereals and tubers,Maize,90 KG,actual,Wholesale,1131.25
Coast,Mombasa,Mombasa,pulses and nuts,Beans,KG,actual,Wholesale,30.59
Coast,Mombasa,Mombasa,pulses and nuts,Beans,90 KG,actual,Wholesale,2798.75
Eastern,Kitui,Kitui,cereals and tubers,Maize,KG,actual,Retail,21.0
Eastern,Kitui,Kitui,pulses and nuts,Beans,KG,actual,Retail,42.0
Eastern,Marsabit,Marsabit,cereals and tubers,Maize,KG,actual,Retail,22.0
Nairobi,Nairobi,Nairobi,cereals and tubers,Beans,400 G,actual,Retail,26.0
Nairobi,Nairobi,Nairobi,cereals and tubers,Maize,KG,actual,Wholesale,17.5
Nairobi,Nairobi,Nairobi,cereals and tubers,Maize,90 KG,actual,Wholesale,1585.75
Nairobi,Nairobi,Nairobi,cereals and tubers,Potatoes,50 KG,actual,Wholesale,555.55
Nairobi,Nairobi,Nairobi,cereals and tubers,Sorghum,90 KG,actual,Wholesale,1668.75
Nairobi,Nairobi,Nairobi,milk and dairy,Milk,500 ML,actual,Retail,20.0
Nairobi,Nairobi,Nairobi,oil and fats,Oil,L,actual,Retail,120.0
Nairobi,Nairobi,Nairobi,pulses and nuts,Beans,KG,actual,Wholesale,30.59
Nairobi,Nairobi,Nairobi,pulses and nuts,Beans,90 KG,actual,Wholesale,2888.0
North Eastern,Mandera,Mandera,cereals and tubers,Maize,KG,actual,Retail,23.0
Nyanza,Kisumu,Kisumu,cereals and tubers,Maize,KG,actual,Wholesale,15.24
Nyanza,Kisumu,Kisumu,cereals and tubers,Maize,90 KG,actual,Wholesale,1231.0
Nyanza,Kisumu,Kisumu,pulses and nuts,Beans,KG,actual,Wholesale,30.12
Nyanza,Kisumu,Kisumu,pulses and nuts,Beans,90 KG,actual,Wholesale,2777.0
Rift Valley,Turkana,Lodwar (Turkana),cereals and tubers,Maize,KG,actual,Retail,27.0
Rift Valley,Uasin Gishu,Eldoret town (Uasin Gishu),cereals and tubers,Maize,KG,actual,Wholesale,17.08
Rift Valley,Uasin Gishu,Eldoret town (Uasin Gishu),cereals and tubers,Maize,90 KG,actual,Wholesale,1529.5
Rift Valley,Uasin Gishu,Eldoret town (Uasin Gishu),cereals and tubers,Potatoes,50 KG,actual,Wholesale,468.51
Rift Valley,Uasin Gishu,Eldoret town (Uasin Gishu),cereals and tubers,Sorghum,90 KG,actual,Wholesale,925.0
Rift Valley,Uasin Gishu,Eldoret town (Uasin Gishu),pulses and nuts,Beans,KG,actual,Wholesale,29.39
Rift Valley,Uasin Gishu,Eldoret town (Uasin Gishu),pulses and nuts,Beans,90 KG,actual,Wholesale,1975.0
Coast,Mombasa,Mombasa,cereals and tubers,Maize,KG,actual,Wholesale,11.77
Coast,Mombasa,Mombasa,cereals and tubers,Maize,90 KG,actual,Wholesale,1075.0
Coast,Mombasa,Mombasa,pulses and nuts,Beans,KG,actual,Wholesale,32.57
Coast,Mombasa,Mombasa,pulses and nuts,Beans,90 KG,actual,Wholesale,3043.75
Eastern,Kitui,Kitui,cereals and tubers,Maize,KG,actual,Retail,19.0
Eastern,Kitui,Kitui,pulses and nuts,Beans,KG,actual,Retail,42.0
Eastern,Marsabit,Marsabit,cereals and tubers,Maize,KG,actual,Retail,20.0
Nairobi,Nairobi,Nairobi,cereals and tubers,Beans,400 G,actual,Retail,26.0
Nairobi,Nairobi,Nairobi,cereals and tubers,Maize,KG,actual,Wholesale,14.8
Nairobi,Nairobi,Nairobi,cereals and tubers,Maize,90 KG,actual,Wholesale,1278.0
Nairobi,Nairobi,Nairobi,cereals and tubers,Potatoes,50 KG,actual,Wholesale,582.22
Nairobi,Nairobi,Nairobi,cereals and tubers,Sorghum,90 KG,actual,Wholesale,1905.0
Nairobi,Nairobi,Nairobi,milk and dairy,Milk,500 ML,actual,Retail,20.0
Nairobi,Nairobi,Nairobi,oil and fats,Oil,L,actual,Retail,120.0
Nairobi,Nairobi,Nairobi,pulses and nuts,Beans,KG,actual,Wholesale,34.75
Nairobi,Nairobi,Nairobi,pulses and nuts,Beans,90 KG,actual,Wholesale,3093.0
North Eastern,Mandera,Mandera,cereals and tubers,Maize,KG,actual,Retail,22.0
Nyanza,Kisumu,Kisumu,cereals and tubers,Maize,KG,actual,Wholesale,13.6
Nyanza,Kisumu,Kisumu,cereals and tubers,Maize,90 KG,actual,Wholesale,1242.0
Nyanza,Kisumu,Kisumu,pulses and nuts,Beans,KG,actual,Wholesale,30.74
Nyanza,Kisumu,Kisumu,pulses and nuts,Beans,90 KG,actual,Wholesale,2811.0
Rift Valley,Turkana,Lodwar (Turkana),cereals and tubers,Maize,KG,actual,Retail,29.0
Rift Valley,Uasin Gishu,Eldoret town (Uasin Gishu),cereals and tubers,Maize,KG,actual,Wholesale,12.53
Rift Valley,Uasin Gishu,Eldoret town (Uasin Gishu),cereals and tubers,Maize,90 KG,actual,Wholesale,1124.38
Rift Valley,Uasin Gishu,Eldoret town (Uasin Gishu),cereals and tubers,Potatoes,50 KG,actual,Wholesale,336.8
Rift Valley,Uasin Gishu,Eldoret town (Uasin Gishu),cereals and tubers,Sorghum,90 KG,actual,Wholesale,967.5
Rift Valley,Uasin Gishu,Eldoret town (Uasin Gishu),pulses and nuts,Beans,KG,actual,Wholesale,36.49
Rift Valley,Uasin Gishu,Eldoret town (Uasin Gishu),pulses and nuts,Beans,90 KG,actual,Wholesale,2700.0
Coast,Mombasa,Mombasa,cereals and tubers,Maize,KG,actual,Wholesale,12.49
Coast,Mombasa,Mombasa,cereals and tubers,Maize,90 KG,actual,Wholesale,1133.0
Coast,Mombasa,Mombasa,pulses and nuts,Beans,KG,actual,Wholesale,32.63
Coast,Mombasa,Mombasa,pulses and nuts,Beans,90 KG,actual,Wholesale,3023.75
Eastern,Kitui,Kitui,cereals and tubers,Maize,KG,actual,Retail,19.0
Eastern,Kitui,Kitui,pulses and nuts,Beans,KG,actual,Retail,44.0
Eastern,Marsabit,Marsabit,cereals and tubers,Maize,KG,actual,Retail,21.0
Nairobi,Nairobi,Nairobi,cereals and tubers,Beans,400 G,actual,Retail,26.0
Nairobi,Nairobi,Nairobi,cereals and tubers,Maize,KG,actual,Wholesale,14.34
Nairobi,Nairobi,Nairobi,cereals and tubers,Maize,90 KG,actual,Wholesale,1293.25
